2022-05-18 15:38:27,862 Config file found!
2022-05-18 15:38:27,884 Starting Conpot using template: /usr/lib/python3.9/site-packages/conpot/templates/kamstrup_382
2022-05-18 15:38:27,884 Starting Conpot using configuration found in: /etc/conpot/conpot.cfg
2022-05-18 15:38:27,995 Serving tar:///usr/lib/python3.9/site-packages/conpot/data.tar as file system. File uploads will be kept at : /tmp/conpot
2022-05-18 15:38:27,996 Opening path /tmp/conpot for persistent storage of files.
2022-05-18 15:38:28,018 Initializing Virtual File System at /tmp/conpot/__conpot__831c45zm. Source specified : tar:///usr/lib/python3.9/site-packages/conpot/data.tar
 Please wait while the system copies all specified files
2022-05-18 15:38:28,362 Fetched 34.121.180.85 as external ip.
2022-05-18 15:38:28,372 Kamstrup management protocol server initialized.
2022-05-18 15:38:28,372 Found and enabled kamstrup_management protocol.
2022-05-18 15:38:28,413 Kamstrup protocol server initialized.
2022-05-18 15:38:28,414 Found and enabled kamstrup_meter protocol.
2022-05-18 15:38:28,415 No proxy template found. Service will remain unconfigured/stopped.
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1d
